[2022-11-01 15:10:49,070][lightning][INFO] - successful load initial weights
[2022-11-01 15:11:06,102][lightning][INFO] - reference : сбер подскажите подготовьте мне выписку по счету
[2022-11-01 15:11:06,102][lightning][INFO] - prediction: 
[2022-11-01 15:11:06,891][lightning][INFO] - reference : салют я вернулся
[2022-11-01 15:11:06,891][lightning][INFO] - prediction: 
[2022-11-01 15:11:07,484][lightning][INFO] - reference : афина какая площадь у города вязьма
[2022-11-01 15:11:07,485][lightning][INFO] - prediction: 
[2022-11-01 15:11:08,168][lightning][INFO] - reference : джой включи пожалуйста таймер на один час
[2022-11-01 15:11:08,169][lightning][INFO] - prediction: 
[2022-11-01 15:11:08,721][lightning][INFO] - reference : сбер прошу звук громче сделай
[2022-11-01 15:11:08,721][lightning][INFO] - prediction: 
[2022-11-01 15:11:09,038][lightning][INFO] - reference : салют перезвони полине
[2022-11-01 15:11:09,039][lightning][INFO] - prediction: 
[2022-11-01 15:11:09,421][lightning][INFO] - reference : салют надоел
[2022-11-01 15:11:09,422][lightning][INFO] - prediction: 
[2022-11-01 15:11:09,774][lightning][INFO] - reference : джой набери галину альбертовну елисееву
[2022-11-01 15:11:09,774][lightning][INFO] - prediction: 
[2022-11-01 15:11:10,055][lightning][INFO] - reference : джой надоел
[2022-11-01 15:11:10,055][lightning][INFO] - prediction: 
[2022-11-01 15:11:10,345][lightning][INFO] - reference : афина повтор
[2022-11-01 15:11:10,346][lightning][INFO] - prediction: 
[2022-11-01 15:11:10,633][lightning][INFO] - reference : сбер набери инну дугину
[2022-11-01 15:11:10,633][lightning][INFO] - prediction: 
[2022-11-01 15:11:10,884][lightning][INFO] - reference : афина набери блинова
[2022-11-01 15:11:10,884][lightning][INFO] - prediction: 
[2022-11-01 15:11:11,208][lightning][INFO] - reference : джой звонок виктору
[2022-11-01 15:11:11,208][lightning][INFO] - prediction: 
[2022-11-01 15:11:11,510][lightning][INFO] - reference : сбер покажи текст песни
[2022-11-01 15:11:11,511][lightning][INFO] - prediction: 
[2022-11-01 15:11:11,832][lightning][INFO] - reference : салют предыдущая
[2022-11-01 15:11:11,833][lightning][INFO] - prediction: 
[2022-11-01 15:11:12,137][lightning][INFO] - reference : салют выйти
[2022-11-01 15:11:12,137][lightning][INFO] - prediction: 
[2022-11-01 15:11:12,466][lightning][INFO] - reference : салют набери надежду васильевну крайнову
[2022-11-01 15:11:12,467][lightning][INFO] - prediction: 
[2022-11-01 15:11:12,784][lightning][INFO] - reference : сбер назад
[2022-11-01 15:11:12,785][lightning][INFO] - prediction: 
[2022-11-01 15:11:13,121][lightning][INFO] - reference : афина прекрати
[2022-11-01 15:11:13,121][lightning][INFO] - prediction: 
[2022-11-01 15:11:13,629][lightning][INFO] - reference : сбер случайный трек
[2022-11-01 15:11:13,629][lightning][INFO] - prediction: 
[2022-11-01 15:11:13,969][lightning][INFO] - reference : салют завершить навык
[2022-11-01 15:11:13,970][lightning][INFO] - prediction: 
[2022-11-01 15:11:14,324][lightning][INFO] - reference : джой завершить навык
[2022-11-01 15:11:14,325][lightning][INFO] - prediction: 
[2022-11-01 15:11:14,614][lightning][INFO] - reference : салют перезвони владимиру николаевичу аксенову
[2022-11-01 15:11:14,614][lightning][INFO] - prediction: 
[2022-11-01 15:11:14,943][lightning][INFO] - reference : салют перезвони ираде евгеньевне
[2022-11-01 15:11:14,943][lightning][INFO] - prediction: 
[2022-11-01 15:11:15,488][lightning][INFO] - reference : джой набери мусатову
[2022-11-01 15:11:15,488][lightning][INFO] - prediction: 
[2022-11-01 15:11:16,174][lightning][INFO] - reference : джой будет ли идти снег в первой половине дня
[2022-11-01 15:11:16,174][lightning][INFO] - prediction: 
[2022-11-01 15:11:17,237][lightning][INFO] - reference : афина отключи звук на видео
[2022-11-01 15:11:17,237][lightning][INFO] - prediction: 
[2022-11-01 15:11:17,883][lightning][INFO] - reference : афина во что любишь поиграть
[2022-11-01 15:11:17,883][lightning][INFO] - prediction: 
[2022-11-01 15:11:18,325][lightning][INFO] - reference : афина тридцать третья серия серкан и сонгуль
[2022-11-01 15:11:18,325][lightning][INFO] - prediction: 
[2022-11-01 15:11:18,741][lightning][INFO] - reference : афина запиши пожалуйста коррекция бровей салон ария на субботу
[2022-11-01 15:11:18,742][lightning][INFO] - prediction: 
[2022-11-01 15:11:19,370][lightning][INFO] - reference : джой насколько достоверны рассказы что животные годами испытывают тоску по умершим хозяевам
[2022-11-01 15:11:19,370][lightning][INFO] - prediction: 
[2022-11-01 15:11:19,791][lightning][INFO] - reference : джой сири найди мне фильмы с актером джонни деппом
[2022-11-01 15:11:19,792][lightning][INFO] - prediction: 
[2022-11-01 15:11:20,078][lightning][INFO] - reference : сбер выйди из приложения
[2022-11-01 15:11:20,079][lightning][INFO] - prediction: 
[2022-11-01 15:11:20,404][lightning][INFO] - reference : афина перезвони вере валерьевне маховой
[2022-11-01 15:11:20,404][lightning][INFO] - prediction: 
[2022-11-01 15:11:20,709][lightning][INFO] - reference : сбер звонок екатерине свечниковой
[2022-11-01 15:11:20,709][lightning][INFO] - prediction: 
[2022-11-01 15:11:21,029][lightning][INFO] - reference : афина набери янну викторовну
[2022-11-01 15:11:21,030][lightning][INFO] - prediction: 
[2022-11-01 15:11:21,340][lightning][INFO] - reference : джой выйди из приложения
[2022-11-01 15:11:21,340][lightning][INFO] - prediction: 
[2022-11-01 15:11:21,859][lightning][INFO] - reference : афина мне не нравится
[2022-11-01 15:11:21,859][lightning][INFO] - prediction: 
[2022-11-01 15:11:22,301][lightning][INFO] - reference : сбер как найти другие мои карты в мобильном банке
[2022-11-01 15:11:22,301][lightning][INFO] - prediction: 
[2022-11-01 15:11:22,652][lightning][INFO] - reference : сбер почему люди болеют
[2022-11-01 15:11:22,653][lightning][INFO] - prediction: 
[2022-11-01 15:11:22,979][lightning][INFO] - reference : что такое допинг
[2022-11-01 15:11:22,980][lightning][INFO] - prediction: 
[2022-11-01 15:11:23,410][lightning][INFO] - reference : живут ли в россии фламинго
[2022-11-01 15:11:23,410][lightning][INFO] - prediction: 
[2022-11-01 15:11:23,747][lightning][INFO] - reference : джой что такое бизнес
[2022-11-01 15:11:23,748][lightning][INFO] - prediction: 
[2022-11-01 15:11:24,095][lightning][INFO] - reference : сбер что такое бессмертие
[2022-11-01 15:11:24,096][lightning][INFO] - prediction: 
[2022-11-01 15:11:24,549][lightning][INFO] - reference : афина зачем нужна лимфа
[2022-11-01 15:11:24,549][lightning][INFO] - prediction: 
[2022-11-01 15:11:25,130][lightning][INFO] - reference : афина включи паровозики из чаггингтон
[2022-11-01 15:11:25,130][lightning][INFO] - prediction: 
[2022-11-01 15:11:25,543][lightning][INFO] - reference : сбер что такое борная кислота
[2022-11-01 15:11:25,544][lightning][INFO] - prediction: 
[2022-11-01 15:11:25,916][lightning][INFO] - reference : сбер что такое бермудский треугольник
[2022-11-01 15:11:25,917][lightning][INFO] - prediction: 
[2022-11-01 15:11:26,395][lightning][INFO] - reference : у каких верблюдов три горба
[2022-11-01 15:11:26,395][lightning][INFO] - prediction: 
[2022-11-01 15:11:26,704][lightning][INFO] - reference : почему самолеты летят и не падают
[2022-11-01 15:11:26,704][lightning][INFO] - prediction: 
[2022-11-01 15:11:27,500][lightning][INFO] - reference : джой откуда берется яд в борщевике сосновского
[2022-11-01 15:11:27,500][lightning][INFO] - prediction: 
[2022-11-01 15:11:28,358][lightning][INFO] - reference : афина что такое чиркаши
[2022-11-01 15:11:28,358][lightning][INFO] - prediction: 
[2022-11-01 15:11:28,753][lightning][INFO] - reference : салют олли веселый грузовичок
[2022-11-01 15:11:28,754][lightning][INFO] - prediction: 
[2022-11-01 15:11:29,124][lightning][INFO] - reference : джой включи ледибаг
[2022-11-01 15:11:29,124][lightning][INFO] - prediction: 
[2022-11-01 15:11:29,458][lightning][INFO] - reference : сбер набери толю ширяева
[2022-11-01 15:11:29,459][lightning][INFO] - prediction: 
[2022-11-01 15:11:29,781][lightning][INFO] - reference : джой продолжить
[2022-11-01 15:11:29,781][lightning][INFO] - prediction: 
[2022-11-01 15:11:30,076][lightning][INFO] - reference : афина звонок валентине
[2022-11-01 15:11:30,076][lightning][INFO] - prediction: 
[2022-11-01 15:11:30,420][lightning][INFO] - reference : джой позвони тихомирову
[2022-11-01 15:11:30,421][lightning][INFO] - prediction: 
[2022-11-01 15:11:30,714][lightning][INFO] - reference : сбер выйди из приложения
[2022-11-01 15:11:30,715][lightning][INFO] - prediction: 
[2022-11-01 15:11:31,010][lightning][INFO] - reference : салют вперед
[2022-11-01 15:11:31,011][lightning][INFO] - prediction: 
[2022-11-01 15:11:31,340][lightning][INFO] - reference : афина позвони авдеевой
[2022-11-01 15:11:31,340][lightning][INFO] - prediction: 
[2022-11-01 15:11:31,625][lightning][INFO] - reference : салют перезвони андрею
[2022-11-01 15:11:31,626][lightning][INFO] - prediction: 
[2022-11-01 15:11:31,933][lightning][INFO] - reference : салют стоп
[2022-11-01 15:11:31,934][lightning][INFO] - prediction: 
[2022-11-01 15:11:32,303][lightning][INFO] - reference : салют повтори
[2022-11-01 15:11:32,304][lightning][INFO] - prediction: 
[2022-11-01 15:11:32,586][lightning][INFO] - reference : сбер громче
[2022-11-01 15:11:32,586][lightning][INFO] - prediction: 
[2022-11-01 15:11:32,920][lightning][INFO] - reference : сбер домой
[2022-11-01 15:11:32,921][lightning][INFO] - prediction: 
[2022-11-01 15:11:33,531][lightning][INFO] - reference : афина набери алексея игоревича кузнецова
[2022-11-01 15:11:33,532][lightning][INFO] - prediction: 
[2022-11-01 15:11:34,100][lightning][INFO] - reference : сбер добрый вечер могу ли я погасить свой кредит досрочно
[2022-11-01 15:11:34,101][lightning][INFO] - prediction: 
[2022-11-01 15:11:34,677][lightning][INFO] - reference : сбер малифисента
[2022-11-01 15:11:34,678][lightning][INFO] - prediction: 
[2022-11-01 15:11:35,188][lightning][INFO] - reference : джой оригинальное название белла
[2022-11-01 15:11:35,189][lightning][INFO] - prediction: 
[2022-11-01 15:11:35,598][lightning][INFO] - reference : сбер найти каналы киносерия
[2022-11-01 15:11:35,599][lightning][INFO] - prediction: 
[2022-11-01 15:11:36,052][lightning][INFO] - reference : джой когда придет моя карта
[2022-11-01 15:11:36,052][lightning][INFO] - prediction: 
[2022-11-01 15:11:36,462][lightning][INFO] - reference : сбер какие эгипан ты знаешь
[2022-11-01 15:11:36,462][lightning][INFO] - prediction: 
[2022-11-01 15:11:36,838][lightning][INFO] - reference : сбер какая история операций по счетам
[2022-11-01 15:11:36,838][lightning][INFO] - prediction: 
[2022-11-01 15:11:37,244][lightning][INFO] - reference : афина будь добр расскажи интересный факт
[2022-11-01 15:11:37,244][lightning][INFO] - prediction: 
[2022-11-01 15:11:37,576][lightning][INFO] - reference : салют какие мурманский алеша ты знаешь
[2022-11-01 15:11:37,576][lightning][INFO] - prediction: 
[2022-11-01 15:11:38,020][lightning][INFO] - reference : сбер здравствуйте как подключить услугу бонусы спасибо
[2022-11-01 15:11:38,020][lightning][INFO] - prediction: 
[2022-11-01 15:11:38,353][lightning][INFO] - reference : сбер полночь в париже режиссер вуди ален год выпуска
[2022-11-01 15:11:38,354][lightning][INFO] - prediction: 
[2022-11-01 15:11:38,657][lightning][INFO] - reference : сбер численность населения тулуза
[2022-11-01 15:11:38,657][lightning][INFO] - prediction: 
[2022-11-01 15:11:38,987][lightning][INFO] - reference : сбер откуда импортировались серебряные чаши
[2022-11-01 15:11:38,988][lightning][INFO] - prediction: 
[2022-11-01 15:11:39,348][lightning][INFO] - reference : афина покажи текст песни
[2022-11-01 15:11:39,348][lightning][INFO] - prediction: 
[2022-11-01 15:11:39,719][lightning][INFO] - reference : сбер набери александра николаевича
[2022-11-01 15:11:39,720][lightning][INFO] - prediction: 
[2022-11-01 15:11:40,084][lightning][INFO] - reference : сбер хватит
[2022-11-01 15:11:40,085][lightning][INFO] - prediction: 
[2022-11-01 15:11:40,425][lightning][INFO] - reference : афина перестань
[2022-11-01 15:11:40,426][lightning][INFO] - prediction: 
[2022-11-01 15:11:40,750][lightning][INFO] - reference : афина набери миху барабанова
[2022-11-01 15:11:40,754][lightning][INFO] - prediction: 
[2022-11-01 15:11:41,070][lightning][INFO] - reference : салют надоел
[2022-11-01 15:11:41,071][lightning][INFO] - prediction: 
[2022-11-01 15:11:41,430][lightning][INFO] - reference : афина надоело
[2022-11-01 15:11:41,431][lightning][INFO] - prediction: 
[2022-11-01 15:11:41,878][lightning][INFO] - reference : джой кто дети луна
[2022-11-01 15:11:41,878][lightning][INFO] - prediction: 
[2022-11-01 15:11:42,246][lightning][INFO] - reference : сбер как давно вы в паре со своим молодым человеком
[2022-11-01 15:11:42,247][lightning][INFO] - prediction: 
[2022-11-01 15:11:42,939][lightning][INFO] - reference : афина что любит читать греф
[2022-11-01 15:11:42,940][lightning][INFO] - prediction: 
