[2022-11-01 15:12:09,054][lightning][INFO] - successful load initial weights
[2022-11-01 15:12:35,326][lightning][INFO] - prediction: 
[2022-11-01 15:12:35,970][lightning][INFO] - reference : есть ли у тебя выйти замуж за капитана
[2022-11-01 15:12:35,970][lightning][INFO] - prediction: 
[2022-11-01 15:12:36,494][lightning][INFO] - reference : афина сколько я трачу денег на зарядку айфона в год если заряжаю его раз в день
[2022-11-01 15:12:36,495][lightning][INFO] - prediction: 
[2022-11-01 15:12:37,013][lightning][INFO] - reference : у тебя в запасе есть сериал воронины
[2022-11-01 15:12:37,014][lightning][INFO] - prediction: п
[2022-11-01 15:12:37,780][lightning][INFO] - reference : салют бруклин нетс это какой вид спорта
[2022-11-01 15:12:37,780][lightning][INFO] - prediction: р роб
[2022-11-01 15:12:38,472][lightning][INFO] - reference : у тебя найдется карточный домик
[2022-11-01 15:12:38,472][lightning][INFO] - prediction: 
[2022-11-01 15:12:39,036][lightning][INFO] - reference : твин пикс сезон девять
[2022-11-01 15:12:39,037][lightning][INFO] - prediction: 
[2022-11-01 15:12:39,599][lightning][INFO] - reference : найти лучшие фильмы жанра драма
[2022-11-01 15:12:39,600][lightning][INFO] - prediction: 
[2022-11-01 15:12:40,040][lightning][INFO] - reference : сезон двенадцать сериала цыган
[2022-11-01 15:12:40,041][lightning][INFO] - prediction: 
[2022-11-01 15:12:40,688][lightning][INFO] - reference : включить режим без звука на телевизоре через пятнадцать минут
[2022-11-01 15:12:40,689][lightning][INFO] - prediction: 
[2022-11-01 15:12:41,104][lightning][INFO] - reference : зиппер в ютубе
[2022-11-01 15:12:41,104][lightning][INFO] - prediction: 
[2022-11-01 15:12:41,990][lightning][INFO] - reference : лариса павловна даванидзе
[2022-11-01 15:12:41,991][lightning][INFO] - prediction: 
[2022-11-01 15:12:42,555][lightning][INFO] - reference : продолжить
[2022-11-01 15:12:42,556][lightning][INFO] - prediction: 
[2022-11-01 15:12:43,634][lightning][INFO] - reference : телефон контраст
[2022-11-01 15:12:43,634][lightning][INFO] - prediction: 
[2022-11-01 15:12:44,421][lightning][INFO] - reference : у тебя есть кино неровная земля
[2022-11-01 15:12:44,422][lightning][INFO] - prediction: 
[2022-11-01 15:12:45,066][lightning][INFO] - reference : оранжевый хит сезона двадцать вторая серия
[2022-11-01 15:12:45,066][lightning][INFO] - prediction: 
[2022-11-01 15:12:45,981][lightning][INFO] - reference : у тебя найдется серия четыре ханна монтана
[2022-11-01 15:12:45,982][lightning][INFO] - prediction: 
[2022-11-01 15:12:46,677][lightning][INFO] - reference : галиной олеговной
[2022-11-01 15:12:46,678][lightning][INFO] - prediction: 
[2022-11-01 15:12:47,498][lightning][INFO] - reference : бандитский петербург включи шестую серию
[2022-11-01 15:12:47,498][lightning][INFO] - prediction: 
[2022-11-01 15:12:48,232][lightning][INFO] - reference : афина кафе у метро третьяковская двое человек на завтра
[2022-11-01 15:12:48,232][lightning][INFO] - prediction: 
[2022-11-01 15:12:49,010][lightning][INFO] - reference : курс тенге доллар
[2022-11-01 15:12:49,011][lightning][INFO] - prediction: 
[2022-11-01 15:12:49,899][lightning][INFO] - reference : четыреста девяносто четыре сорок восемь семьсот пятнадцать четырнадцать
[2022-11-01 15:12:49,900][lightning][INFO] - prediction: 
[2022-11-01 15:12:50,488][lightning][INFO] - reference : эдик накусов
[2022-11-01 15:12:50,488][lightning][INFO] - prediction: 
[2022-11-01 15:12:51,273][lightning][INFO] - reference : первая серия диджея кхаледа
[2022-11-01 15:12:51,274][lightning][INFO] - prediction: 
[2022-11-01 15:12:51,827][lightning][INFO] - reference : у тебя в запасе есть сериал гравитация
[2022-11-01 15:12:51,828][lightning][INFO] - prediction: 
[2022-11-01 15:12:52,452][lightning][INFO] - reference : афина где был рожден рафаловский
[2022-11-01 15:12:52,453][lightning][INFO] - prediction: 
[2022-11-01 15:12:53,247][lightning][INFO] - reference : футбол между командами манчестер юнайтед тоттенхэм
[2022-11-01 15:12:53,248][lightning][INFO] - prediction: 
[2022-11-01 15:12:53,806][lightning][INFO] - reference : хочу купить двести двадцать песо сколько это будет по сегодняшнему курсу
[2022-11-01 15:12:53,807][lightning][INFO] - prediction: 
[2022-11-01 15:12:54,406][lightning][INFO] - reference : курс евро к рублю сегодня
[2022-11-01 15:12:54,407][lightning][INFO] - prediction: 
[2022-11-01 15:12:55,219][lightning][INFO] - reference : ты можешь включить фильм острые козырьки третья серия
[2022-11-01 15:12:55,220][lightning][INFO] - prediction: 
[2022-11-01 15:12:55,911][lightning][INFO] - reference : девять шестьсот три девятьсот четырнадцать пятнадцать пятнадцать
[2022-11-01 15:12:55,911][lightning][INFO] - prediction: 
[2022-11-01 15:12:56,435][lightning][INFO] - reference : сбер найди кино ужасы
[2022-11-01 15:12:56,435][lightning][INFO] - prediction: 
[2022-11-01 15:12:57,234][lightning][INFO] - reference : обед в номер заказать
[2022-11-01 15:12:57,234][lightning][INFO] - prediction: 
[2022-11-01 15:12:58,032][lightning][INFO] - reference : найди передачу любимое кино на телевизоре
[2022-11-01 15:12:58,032][lightning][INFO] - prediction: 
[2022-11-01 15:12:58,857][lightning][INFO] - reference : заказать продукты из магазина домой
[2022-11-01 15:12:58,857][lightning][INFO] - prediction: 
[2022-11-01 15:12:59,395][lightning][INFO] - reference : сергей конюхов
[2022-11-01 15:12:59,395][lightning][INFO] - prediction: 
[2022-11-01 15:12:59,943][lightning][INFO] - reference : есть ли тир в отеле
[2022-11-01 15:12:59,943][lightning][INFO] - prediction: 
[2022-11-01 15:13:01,349][lightning][INFO] - reference : включи литл бэби бум нерсери раймс энд чилдренс сонгс
[2022-11-01 15:13:01,349][lightning][INFO] - prediction: 
[2022-11-01 15:13:02,085][lightning][INFO] - reference : сергей вьюнов
[2022-11-01 15:13:02,086][lightning][INFO] - prediction: 
[2022-11-01 15:13:02,532][lightning][INFO] - reference : поехали азия микс
[2022-11-01 15:13:02,533][lightning][INFO] - prediction: 
[2022-11-01 15:13:03,282][lightning][INFO] - reference : пополнить баланс натальи девятьсот девяносто два ноль четыре ноль четыре девятьсот восемьдесят два
[2022-11-01 15:13:03,283][lightning][INFO] - prediction: 
[2022-11-01 15:13:04,016][lightning][INFO] - reference : афина курс доллара на сегодня в сбербанке
[2022-11-01 15:13:04,016][lightning][INFO] - prediction: 
[2022-11-01 15:13:04,595][lightning][INFO] - reference : наталия валериевна
[2022-11-01 15:13:04,595][lightning][INFO] - prediction: 
[2022-11-01 15:13:05,083][lightning][INFO] - reference : у тебя есть слепая ярость
[2022-11-01 15:13:05,084][lightning][INFO] - prediction: 
[2022-11-01 15:13:05,877][lightning][INFO] - reference : включи лавлэйс
[2022-11-01 15:13:05,878][lightning][INFO] - prediction: 
[2022-11-01 15:13:06,482][lightning][INFO] - reference : дай посмотреть фильмы жанра научная фантастика
[2022-11-01 15:13:06,483][lightning][INFO] - prediction: 
[2022-11-01 15:13:07,191][lightning][INFO] - reference : покажи видеофильм безжалостное солнце
[2022-11-01 15:13:07,191][lightning][INFO] - prediction: 
[2022-11-01 15:13:07,961][lightning][INFO] - reference : закажи трансфер в аэропорту
[2022-11-01 15:13:07,961][lightning][INFO] - prediction: 
[2022-11-01 15:13:09,018][lightning][INFO] - reference : у тебя есть фильм путь карлито
[2022-11-01 15:13:09,019][lightning][INFO] - prediction: 
[2022-11-01 15:13:10,051][lightning][INFO] - reference : у тебя будет фильмище жанра мультяшка
[2022-11-01 15:13:10,052][lightning][INFO] - prediction: 
[2022-11-01 15:13:10,788][lightning][INFO] - reference : двадцать первая серия последний сезон дневники вампира
[2022-11-01 15:13:10,789][lightning][INFO] - prediction: 
[2022-11-01 15:13:11,683][lightning][INFO] - reference : у тебя есть шесть потерянных часов
[2022-11-01 15:13:11,683][lightning][INFO] - prediction: 
[2022-11-01 15:13:12,488][lightning][INFO] - reference : жанр фильма стекло
[2022-11-01 15:13:12,488][lightning][INFO] - prediction: 
[2022-11-01 15:13:13,209][lightning][INFO] - reference : свяжись с сотрудником банка
[2022-11-01 15:13:13,210][lightning][INFO] - prediction: 
[2022-11-01 15:13:13,831][lightning][INFO] - reference : володя пайзуллаев
[2022-11-01 15:13:13,832][lightning][INFO] - prediction: 
[2022-11-01 15:13:15,618][lightning][INFO] - reference : скачай власть закона фор кей
[2022-11-01 15:13:15,618][lightning][INFO] - prediction: 
[2022-11-01 15:13:16,589][lightning][INFO] - reference : салют включить телеканал матч тв
[2022-11-01 15:13:16,590][lightning][INFO] - prediction: 
[2022-11-01 15:13:17,190][lightning][INFO] - reference : запускай комедию
[2022-11-01 15:13:17,191][lightning][INFO] - prediction: 
[2022-11-01 15:13:18,018][lightning][INFO] - reference : слепая
[2022-11-01 15:13:18,019][lightning][INFO] - prediction: 
[2022-11-01 15:13:18,851][lightning][INFO] - reference : какой сегодня курс фунта
[2022-11-01 15:13:18,851][lightning][INFO] - prediction: 
[2022-11-01 15:13:19,767][lightning][INFO] - reference : сбер какой пролив отделяет материк от острова сахалин
[2022-11-01 15:13:19,768][lightning][INFO] - prediction: 
[2022-11-01 15:13:20,631][lightning][INFO] - reference : закажи мне воду боржоми ноль пять литра одну бутылку
[2022-11-01 15:13:20,632][lightning][INFO] - prediction: 
[2022-11-01 15:13:21,699][lightning][INFO] - reference : ты можешь включить стс лав на смотрешке
[2022-11-01 15:13:21,699][lightning][INFO] - prediction: 
[2022-11-01 15:13:22,608][lightning][INFO] - reference : афина найди банкомат поблизости
[2022-11-01 15:13:22,609][lightning][INFO] - prediction: 
[2022-11-01 15:13:23,755][lightning][INFO] - reference : семь триста сорок четыре сто сорок два тридцать два тридцать семь
[2022-11-01 15:13:23,755][lightning][INFO] - prediction: 
[2022-11-01 15:13:25,350][lightning][INFO] - reference : джой какие виды социальная педагогика ты знаешь
[2022-11-01 15:13:25,350][lightning][INFO] - prediction: 
[2022-11-01 15:13:26,153][lightning][INFO] - reference : мой заказ не доставлен что делать
[2022-11-01 15:13:26,153][lightning][INFO] - prediction: 
[2022-11-01 15:13:27,181][lightning][INFO] - reference : афина какие еще есть популяризаторы науки кроме доукинза и хокинга
[2022-11-01 15:13:27,182][lightning][INFO] - prediction: 
[2022-11-01 15:13:28,064][lightning][INFO] - reference : порто ново
[2022-11-01 15:13:28,064][lightning][INFO] - prediction: 
[2022-11-01 15:13:28,781][lightning][INFO] - reference : газированная вода ессентуки четверка полтора литра
[2022-11-01 15:13:28,781][lightning][INFO] - prediction: 
[2022-11-01 15:13:29,668][lightning][INFO] - reference : хистори два на смотрешке
[2022-11-01 15:13:29,668][lightning][INFO] - prediction: 
[2022-11-01 15:13:30,229][lightning][INFO] - reference : оксана кузовлева
[2022-11-01 15:13:30,230][lightning][INFO] - prediction: 
[2022-11-01 15:13:31,046][lightning][INFO] - reference : леван михайлович
[2022-11-01 15:13:31,046][lightning][INFO] - prediction: 
[2022-11-01 15:13:32,000][lightning][INFO] - reference : прямой эфир английской премьер лиги манчестер с лестером
[2022-11-01 15:13:32,000][lightning][INFO] - prediction: 
[2022-11-01 15:13:32,636][lightning][INFO] - reference : курс доллара центробанка
[2022-11-01 15:13:32,636][lightning][INFO] - prediction: 
[2022-11-01 15:13:33,664][lightning][INFO] - reference : сбер с кем танат состоит в отношениях
[2022-11-01 15:13:33,665][lightning][INFO] - prediction: 
[2022-11-01 15:13:34,341][lightning][INFO] - reference : первая серия сезон три стрела
[2022-11-01 15:13:34,342][lightning][INFO] - prediction: 
[2022-11-01 15:13:35,172][lightning][INFO] - reference : открой мне арена на тв
[2022-11-01 15:13:35,173][lightning][INFO] - prediction: 
[2022-11-01 15:13:35,886][lightning][INFO] - reference : выживший
[2022-11-01 15:13:35,887][lightning][INFO] - prediction: 
[2022-11-01 15:13:36,552][lightning][INFO] - reference : найти на смотрешке телеканал его тв
[2022-11-01 15:13:36,553][lightning][INFO] - prediction: и
[2022-11-01 15:13:37,168][lightning][INFO] - reference : пиво жигулевское светлое полтора литра
[2022-11-01 15:13:37,168][lightning][INFO] - prediction: 
[2022-11-01 15:13:37,910][lightning][INFO] - reference : хочу удивительные истории ультра эйч ди
[2022-11-01 15:13:37,910][lightning][INFO] - prediction: 
[2022-11-01 15:13:38,684][lightning][INFO] - reference : покажи сериальчик детектив инаба
[2022-11-01 15:13:38,684][lightning][INFO] - prediction: 
[2022-11-01 15:13:39,360][lightning][INFO] - reference : мидлсбро
[2022-11-01 15:13:39,361][lightning][INFO] - prediction: 
[2022-11-01 15:13:39,838][lightning][INFO] - reference : джонни орландо в ютьюбе
[2022-11-01 15:13:39,839][lightning][INFO] - prediction: 
[2022-11-01 15:13:40,568][lightning][INFO] - reference : у тебя в каталоге есть кино шоу грэма нортона двенадцатый сезон
[2022-11-01 15:13:40,569][lightning][INFO] - prediction: дц
[2022-11-01 15:13:41,198][lightning][INFO] - reference : покажи мне на смотрешке нтв сериал
[2022-11-01 15:13:41,199][lightning][INFO] - prediction: 
[2022-11-01 15:13:41,947][lightning][INFO] - reference : включить канал стс
[2022-11-01 15:13:41,948][lightning][INFO] - prediction: 
[2022-11-01 15:13:42,824][lightning][INFO] - reference : скинуть денег на мобилку другу
[2022-11-01 15:13:42,825][lightning][INFO] - prediction: 
[2022-11-01 15:13:43,370][lightning][INFO] - reference : заводи бинго бонго муви филм ютьюб
[2022-11-01 15:13:43,370][lightning][INFO] - prediction: 
[2022-11-01 15:13:44,126][lightning][INFO] - reference : выключи
[2022-11-01 15:13:44,126][lightning][INFO] - prediction: 
[2022-11-01 15:13:45,541][lightning][INFO] - reference : афина сколько собак планировал отправить в поход нансен
[2022-11-01 15:13:45,542][lightning][INFO] - prediction: 
[2022-11-01 15:13:46,176][lightning][INFO] - reference : николай соболев
[2022-11-01 15:13:46,176][lightning][INFO] - prediction: 
[2022-11-01 15:13:46,881][lightning][INFO] - reference : сбер стар шоппинг
[2022-11-01 15:13:46,881][lightning][INFO] - prediction: 
[2022-11-01 15:13:47,513][lightning][INFO] - reference : покажи на смотрешке телеканал муз тв
[2022-11-01 15:13:47,514][lightning][INFO] - prediction: к
[2022-11-01 15:13:48,244][lightning][INFO] - reference : эпизод двадцать пять сезона пять шоу сплетница
[2022-11-01 15:13:48,244][lightning][INFO] - prediction: 
[2022-11-01 15:13:49,341][lightning][INFO] - reference :  
[2022-11-01 15:13:49,342][lightning][INFO] - prediction: 
[2022-11-01 15:13:49,940][lightning][INFO] - reference : популярное детское кино
[2022-11-01 15:13:49,940][lightning][INFO] - prediction: 
[2022-11-01 15:13:50,751][lightning][INFO] - reference : рамиль андреевич
[2022-11-01 15:13:50,751][lightning][INFO] - prediction: 
[2022-11-01 15:13:51,344][lightning][INFO] - reference : четырнадцатый сезон сериал люди икс
[2022-11-01 15:13:51,345][lightning][INFO] - prediction: арорала
[2022-11-01 15:13:52,489][lightning][INFO] - reference : давай посмотрим запись матча между арсеналом и бернли
[2022-11-01 15:13:52,490][lightning][INFO] - prediction: 
[2022-11-01 15:13:53,616][lightning][INFO] - reference : последний сезон сериала элементарно
[2022-11-01 15:13:53,616][lightning][INFO] - prediction: 
[2022-11-01 15:13:54,284][lightning][INFO] - reference : салют
[2022-11-01 15:13:54,284][lightning][INFO] - prediction: 
[2022-11-01 15:13:54,867][lightning][INFO] - reference : положи деньги маме на телефон
[2022-11-01 15:13:54,867][lightning][INFO] - prediction: 
[2022-11-01 15:13:56,037][lightning][INFO] - reference : сяньтао
[2022-11-01 15:13:56,038][lightning][INFO] - prediction: 
[2022-11-01 15:13:57,071][lightning][INFO] - reference : джой подскажите где я могу забрать мою перевыпущенную карту
[2022-11-01 15:13:57,071][lightning][INFO] - prediction: 
[2022-11-01 15:13:57,830][lightning][INFO] - reference : емельяненко кокляев
[2022-11-01 15:13:57,831][lightning][INFO] - prediction: о
[2022-11-01 15:13:58,537][lightning][INFO] - reference :  
[2022-11-01 15:13:58,538][lightning][INFO] - prediction: 
[2022-11-01 15:13:59,162][lightning][INFO] - reference : энималсити
[2022-11-01 15:13:59,163][lightning][INFO] - prediction: 
[2022-11-01 15:14:00,402][lightning][INFO] - reference : у тебя в списке есть гаттака
[2022-11-01 15:14:00,402][lightning][INFO] - prediction: 
[2022-11-01 15:14:01,279][lightning][INFO] - reference : салют отменить запись на эпиляцию
[2022-11-01 15:14:01,280][lightning][INFO] - prediction: 
[2022-11-01 15:14:02,086][lightning][INFO] - reference : фильмы бондарчука
[2022-11-01 15:14:02,087][lightning][INFO] - prediction: 
[2022-11-01 15:14:02,761][lightning][INFO] - reference : включи золотая коллекция валентина дворянинова
[2022-11-01 15:14:02,761][lightning][INFO] - prediction: 
[2022-11-01 15:14:03,466][lightning][INFO] - reference : выведи мне список сериалов
[2022-11-01 15:14:03,467][lightning][INFO] - prediction: 
[2022-11-01 15:14:04,426][lightning][INFO] - reference : встреча английской премьер лиги ливерпуль против арсенала
[2022-11-01 15:14:04,427][lightning][INFO] - prediction: 
[2022-11-01 15:14:06,848][lightning][INFO] - reference : повелитель тьмы
[2022-11-01 15:14:06,849][lightning][INFO] - prediction: 
[2022-11-01 15:14:07,788][lightning][INFO] - reference : денис николаевич козлов
[2022-11-01 15:14:07,788][lightning][INFO] - prediction: 
[2022-11-01 15:14:08,641][lightning][INFO] - reference : покажи каспер фул эйч ди
[2022-11-01 15:14:08,642][lightning][INFO] - prediction: 
[2022-11-01 15:14:09,672][lightning][INFO] - reference : молоко лужайкино три с половиной жирности один литр
[2022-11-01 15:14:09,672][lightning][INFO] - prediction: 
[2022-11-01 15:14:10,310][lightning][INFO] - reference : джой зороастризм
[2022-11-01 15:14:10,310][lightning][INFO] - prediction: 
[2022-11-01 15:14:10,886][lightning][INFO] - reference : эпизод два сезона один мультика школьные дни
[2022-11-01 15:14:10,887][lightning][INFO] - prediction: 
[2022-11-01 15:14:11,530][lightning][INFO] - reference : афина какая валюта у маврикийцев
[2022-11-01 15:14:11,530][lightning][INFO] - prediction: 
[2022-11-01 15:14:12,503][lightning][INFO] - reference : афина уже стемнело пора выключить свет
[2022-11-01 15:14:12,503][lightning][INFO] - prediction: 
[2022-11-01 15:14:13,168][lightning][INFO] - reference : сколько будет стоить полет на вертолете
[2022-11-01 15:14:13,169][lightning][INFO] - prediction: 
[2022-11-01 15:14:14,348][lightning][INFO] - reference : юбилейным
[2022-11-01 15:14:14,348][lightning][INFO] - prediction: 
[2022-11-01 15:14:14,964][lightning][INFO] - reference : хочу посмотреть фильм с элайджей вудом с названием день независимости
[2022-11-01 15:14:14,964][lightning][INFO] - prediction: 
[2022-11-01 15:14:15,768][lightning][INFO] - reference : двенадцатая часть сезона четыре доктор кто
[2022-11-01 15:14:15,768][lightning][INFO] - prediction: 
[2022-11-01 15:14:16,464][lightning][INFO] - reference : какой курс от тысяч тысяч австралийских долларов
[2022-11-01 15:14:16,465][lightning][INFO] - prediction: 
[2022-11-01 15:14:17,258][lightning][INFO] - reference : найди альфа и омега клыкастая братва ультра эйчди
[2022-11-01 15:14:17,258][lightning][INFO] - prediction: 
[2022-11-01 15:14:18,029][lightning][INFO] - reference : продать пятьдесят восемь гуарани какая стоимость в швейцарских франках
[2022-11-01 15:14:18,029][lightning][INFO] - prediction: 
[2022-11-01 15:14:18,758][lightning][INFO] - reference : напиток тархун ноль пять объемом
[2022-11-01 15:14:18,759][lightning][INFO] - prediction: отокоео
[2022-11-01 15:14:19,503][lightning][INFO] - reference : у тебя будет тело дженнифер
[2022-11-01 15:14:19,503][lightning][INFO] - prediction: 
[2022-11-01 15:14:20,227][lightning][INFO] - reference : ооо ветком запись
[2022-11-01 15:14:20,227][lightning][INFO] - prediction: 
[2022-11-01 15:14:20,780][lightning][INFO] - reference : скажи пожалуйста где здесь запасной выход в отеле
[2022-11-01 15:14:20,780][lightning][INFO] - prediction: 
[2022-11-01 15:14:21,433][lightning][INFO] - reference : покажи кино патруль
[2022-11-01 15:14:21,434][lightning][INFO] - prediction: 
[2022-11-01 15:14:22,155][lightning][INFO] - reference : афина какая группа играет
[2022-11-01 15:14:22,156][lightning][INFO] - prediction: 
[2022-11-01 15:14:23,376][lightning][INFO] - reference : ежик в тумане включай
[2022-11-01 15:14:23,376][lightning][INFO] - prediction: 
[2022-11-01 15:14:23,904][lightning][INFO] - reference : покажи мне встречу апл манчестер против манчестер сити
[2022-11-01 15:14:23,904][lightning][INFO] - prediction: 
[2022-11-01 15:14:24,460][lightning][INFO] - reference : посмотреть прямой эфир матча апл манчестер челси
[2022-11-01 15:14:24,460][lightning][INFO] - prediction: 
[2022-11-01 15:14:25,138][lightning][INFO] - reference : четыре восемьсот девяносто семь двести тридцать один восемнадцать девяносто два
[2022-11-01 15:14:25,138][lightning][INFO] - prediction: 
[2022-11-01 15:14:25,597][lightning][INFO] - reference : у тебя найдется фильм халиф аист
[2022-11-01 15:14:25,598][lightning][INFO] - prediction: 
[2022-11-01 15:14:26,341][lightning][INFO] - reference : возможности управления
[2022-11-01 15:14:26,341][lightning][INFO] - prediction: 
[2022-11-01 15:14:27,109][lightning][INFO] - reference : джой у тебя были ли сексуальные отношения
[2022-11-01 15:14:27,110][lightning][INFO] - prediction: 
[2022-11-01 15:14:27,855][lightning][INFO] - reference : хочу посмотреть шпионские страсти
[2022-11-01 15:14:27,856][lightning][INFO] - prediction: 
[2022-11-01 15:14:28,855][lightning][INFO] - reference : шесть четыреста пять девятьсот девяносто пять шестьдесят ноль шестьдесят восемь
[2022-11-01 15:14:28,855][lightning][INFO] - prediction: 
[2022-11-01 15:14:29,387][lightning][INFO] - reference : повтор
[2022-11-01 15:14:29,388][lightning][INFO] - prediction: 
[2022-11-01 15:14:30,671][lightning][INFO] - reference : поставь ка фильм елки
[2022-11-01 15:14:30,672][lightning][INFO] - prediction: 
[2022-11-01 15:14:31,374][lightning][INFO] - reference : ты можешь включить мертвое лето
[2022-11-01 15:14:31,375][lightning][INFO] - prediction: 
[2022-11-01 15:14:31,906][lightning][INFO] - reference : какой курс песо на третье июня
[2022-11-01 15:14:31,906][lightning][INFO] - prediction: 
[2022-11-01 15:14:32,558][lightning][INFO] - reference : у тебя есть лента открытый космос
[2022-11-01 15:14:32,559][lightning][INFO] - prediction: 
[2022-11-01 15:14:33,193][lightning][INFO] - reference : амелия время работы
[2022-11-01 15:14:33,193][lightning][INFO] - prediction: 
[2022-11-01 15:14:34,052][lightning][INFO] - reference : салют снять деньги близко
[2022-11-01 15:14:34,052][lightning][INFO] - prediction: 
[2022-11-01 15:14:34,645][lightning][INFO] - reference : за сколько можно будет обменять юани в россии
[2022-11-01 15:14:34,645][lightning][INFO] - prediction: 
[2022-11-01 15:14:35,341][lightning][INFO] - reference : алиса закажи нарзан один литр одна штука
[2022-11-01 15:14:35,342][lightning][INFO] - prediction: 
[2022-11-01 15:14:36,099][lightning][INFO] - reference : ооо феррум отзывы
[2022-11-01 15:14:36,100][lightning][INFO] - prediction: 
[2022-11-01 15:14:36,997][lightning][INFO] - reference : смотреть трансляцию апл манчестер с астон виллой
[2022-11-01 15:14:36,997][lightning][INFO] - prediction: 
[2022-11-01 15:14:37,507][lightning][INFO] - reference : включи фильм охотники за караванами
[2022-11-01 15:14:37,508][lightning][INFO] - prediction: 
